System,Year,PdxnYear,PdxnYearBH,RepYear,Popn,ID,Geno,Rep,Rep_ID,Breeding_hist,Cross,Seed_Color,SeedWT_per_Plant_Grams,DTG,GermPercent,Cotyledon_Color,Vigor,DT50%F,100_SW,Taproot_Diameter,BR_1_Diameter,BR_2_Diameter,Branching_Density,Disease_Rating
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,123,B123,3,B123_3,Conventional,ORBV,Pigmented,NA,NA,0.96,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,124,B124,1,B124_1,Conventional,ORBV,White,33.43286429,NA,0.92,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,124,B124,2,B124_2,Conventional,ORBV,White,28.66857857,NA,0.96,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,124,B124,3,B124_3,Conventional,ORBV,White,NA,NA,0.96,NA,NA,39,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,125,B125,1,B125_1,Conventional,ORBV,Pigmented,28.91333333,NA,0.96,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,125,B125,2,B125_2,Conventional,ORBV,Pigmented,19.80313684,NA,0.88,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,125,B125,3,B125_3,Conventional,ORBV,Pigmented,NA,NA,0.92,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,130,B130,1,B130_1,Conventional,ORBV,Pigmented,24.18,NA,0.84,NA,NA,45,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,130,B130,2,B130_2,Conventional,ORBV,Pigmented,25.14000714,NA,0.92,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,130,B130,3,B130_3,Conventional,ORBV,Pigmented,NA,NA,0.92,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,132,B132,1,B132_1,Conventional,ORBV,Pigmented,24.40666667,NA,0.92,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,132,B132,2,B132_2,Conventional,ORBV,Pigmented,25.81333333,NA,0.92,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,132,B132,3,B132_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,135,B135,1,B135_1,Conventional,ORBV,Pigmented,26.4,NA,0.96,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,135,B135,2,B135_2,Conventional,ORBV,Pigmented,13.81822609,NA,1,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,135,B135,3,B135_3,Conventional,ORBV,Pigmented,NA,NA,0.96,NA,NA,44,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,138,B138,1,B138_1,Conventional,ORBV,Pigmented,28.81693846,NA,0.96,NA,NA,39,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,138,B138,2,B138_2,Conventional,ORBV,Pigmented,29.56143571,NA,0.96,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,138,B138,3,B138_3,Conventional,ORBV,Pigmented,NA,NA,0.92,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,14,B14,1,B14_1,Conventional,ORBV,Pigmented,22.44,NA,0.92,NA,NA,46,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,14,B14,2,B14_2,Conventional,ORBV,Pigmented,29.365025,NA,0.8,NA,NA,44,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,14,B14,3,B14_3,Conventional,ORBV,Pigmented,NA,NA,0.92,NA,NA,46,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,141,B141,1,B141_1,Conventional,ORBV,Pigmented,23.89386154,NA,0.84,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,141,B141,2,B141_2,Conventional,ORBV,Pigmented,30.80924615,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
